user_name,rating,review_text,date,label,sentiment,teks_preprocessing
Andreas Gunawan,1,Tolong d perbaikin kembali kepada semua driver gocar mau goride d wilayah parung panjang bogor kenapa y setiap saya pesen k tujuan perumahan Sekar Tanjung banyak yang d cancel terus pa harus driver milih milih antara jarak Deket aj baru d bawah y pihak manajemen gojek Indonesia tolong d pm PM aj klo ada driver pilih pilih orderan sama cs penumpang d pm kshan lah penumpang bayar bukan ngutang Ama Lo gojek d training malah g bener malahan d wilayah parung panjang bogor tanks,2024-01-19 14:33:44,0,NEGATIF,perbaikin driver gocar goride wilayah parung bogor pesan tuju rumah sekar tanjung batal driver milih milih jarak manajemen gojek indonesia private message private message driver pilih pilih order cs tumpang private message kshan tumpang bayar ngutang gojek training wilayah parung bogor tanks
Pengguna Google,5,"Cukup bagus sih lumayan ada peningkatan, tp disayangkan beberapa driver mempermainkan cust dg alasan tarif terlalu murah, halo kita gabisa ngatur ya itu udah dari aplikasi tarifnya kita hanya bisa memilih menggunakan argo apa ride, car dll, kalau dirasa tarif terlalu murah silahkan lapor ke kantor/cs saja jk tdk sesuai keinginan kalian, jgn cm nerima order tp ga jalan², ujung-ujungnya dibatalkan sepihak.",2024-01-19 08:56:30,0,NEGATIF,bagus sih lumayan tingkat sayang driver main cust alas tarif murah halo ngatur iya aplikasi tarif pilih argo ride car rasa tarif murah silah lapor kantorcs jk sesuai cm nerima order jalan ujung ujung batal
Michelle Hefanya,5,"gojek sangat membantu,hanya saja driver goride banyak yg ngebut mohon untuk dikurangi ngebutnya terimakasih",2024-01-19 06:00:43,0,NEGATIF,gojek bantu driver goride ngebut mohon rang ngebut terimakasih
Irvan Suhendra,1,prasaan gofood goride lebih mahal dari grab,2024-01-16 16:30:14,0,NEGATIF,prasaan gofood goride mahal grab
Ruqoyah Qolbi,5,"Pertahankan pelayanan kpd pelanggan & beri penghargaan yg sebesar-besarnya kpd para rider & driver. Kurangin potongan kpd mereka. Tanpa mereka, perusahaan ga ada apa2-nya",2024-01-14 16:27:58,1,POSITIF,tahan layan langgan harga besar rider driver rangin potong usaha nya
Samuel Alex Van Putra,1,Knp stiap mau mesen Goride or Gocar slalu milih peta manual? Padahal udh di simpen lokasi favorit Tpi ttp aja harus nyari manual Menyusahkan,2024-01-13 10:15:09,0,NEGATIF,mesen goride or gocar slalu milih peta manual simpen lokasi favorit cari manual susah
Nazwar Daffa Ananda,1,"kenapa gak bisa kalau waktu Hujan? Mau GoCar ataupun GoRide, padahal ada hal genting",2024-01-13 05:54:39,0,NEGATIF,hujan gocar goride genting
Berliana wnp,1,"Tolong kalau kita sedang pesan goride/gocar cari driver yg lokasinya dekat dengan titik penjemputan. Sering bgt dapet driver yg jaraknya jauh, padahal driver yg mangkal di sekitar lokasi penjemputan banyak bangett. Tolong di perbaiki lgi. jangan buang² waktu kami hanya untuk nunggu driver yg datengnya lama karena jaraknya jauh!",2024-01-12 18:58:10,0,NEGATIF,pesan goridegocar cari driver lokasi titik jemput banget driver jarak driver mangkal lokasi jemput bangett baik lgi buang tunggu driver datengnya jarak
haningtiyas intan,1,Parah banget si ini kalo ujan go ride gak bisa dipesen sama sekali,2024-01-11 18:03:33,0,NEGATIF,parah banget si ujan go ride sen
Affifah Official,1,"awalnya oke oke aja tapi lama lama saya pengguna goride wanita, sering sekali dapat perlakuan cabul dari driver. gojek kalo cari driver di interview dulu ga sih kepribadian nya??",2024-01-11 15:23:44,0,NEGATIF,oke oke guna goride wanita laku cabul driver gojek cari driver interview sih pribadi nya
Yunita Ratna,1,"Pesen gocar sulit sekali....padahal sampe enggak pakai promo biar ada yang nyantol, padahal di maps banyak mobil begitu order alesan driver sibuk semua....males banget kecewa lah padahal yang goride enggak lho Tolong dong tarifnya di bikin biasa aja yang penting tetep bisa cepet nyantolnya kalau pesen ya kali nunggu setengah jam sama sekali enggak ada yang nyantol 😭",2024-01-11 14:13:12,0,NEGATIF,pesan gocar sulit pakai promo biar nyantol maps mobil order alesan driver sibuk males banget kecewa goride lho tarif bikin tetep cepat nyantolnya pesan iya kali tunggu jam nyantol
Totot Kayanto,1,"Gojek kenapa sekarang dapat driver lama dan jaraknya jauh sekali, padahal disekitar saya ada beberapa driver yang menunggu orderan yang dapat malah yang jauh otomatis saya jadi menunggu terlalu lama dan akhirnya saya terlambat bekerja mohon diperbaiki masalah seperti ini sangat merugikan konsumen tidak hanya ride, food juga padahal disekitar resto banyak driver malah dapat yang jauh akhirnya saya menunggu makanan hampir 1 jam padahal resto yang saya pesan tidak terlalu ramai saya amat kecewa.",2024-01-11 14:10:29,0,NEGATIF,gojek driver jarak sekitar driver tunggu order otomatis tunggu lambat mohon baik rugi konsumen ride food sekitar resto driver tunggu makan jam resto pesan ramai kecewa
bintang hadisumitro,1,"Gojek ngasih promo goride gocar tu boong, kita milih yg promo tapi sekali pun ga pernah nyantol, 10x ada kali saya pembatalan, begitu klik yg mahal langsung nyantol Kalo ganiat promo gausah promo Mengecewakan",2024-01-11 07:12:11,0,NEGATIF,gojek promo goride gocar tu boong milih promo nyantol kali batal klik mahal langsung nyantol ganiat promo gausah promo kecewa
Amalia Risman,4,Semakin kesini kenapa makin jelek ya. Pesan go car/ goride suka lama. Mencari driver sering di kasih yang jauh dari lokasi jemputan padahal yg dekat lokasi jemputan ada. Tolong di perbaiki ya pak. Bagusan gojek yg dl deh. 🙏,2024-01-10 20:18:45,0,NEGATIF,kesini jelek pesan go car goride suka cari driver kasih lokasi jemput lokasi jemput baik iya bagus gojek deh
Roni Sulaeman,1,"Sudah order goride lama nunggu dapat drivernya, sudah gitu susah di batalin jauh sama aplikasi tetangga",2024-01-10 18:39:34,0,NEGATIF,order goride tunggu drivernya susah batalin aplikasi tetangga
Sigit Eko Prasetya,1,"Aplikasinya sih masih bagus, tapi baru hari ini, 10 januari 2024, pesen gocar hampir 15 kali, goride 7 kali, ga ada yang nyantol, server sibuk, padahal cuaca cuma gerimis kecil, di pusat kota Purwokerto. Payah sekali ini. Ga siap kalau di butuhkan.",2024-01-10 18:37:46,0,NEGATIF,aplikasi sih bagus januari pesan gocar kali goride kali nyantol server sibuk cuaca gerimis pusat kota purwokerto payah butuh
Ikhsan,1,Aplikasi eror terus gak bisa pesan Goride malah gambar dinosaurus yang muncul,2024-01-10 18:27:46,0,NEGATIF,aplikasi eror pesan goride gambar dinosaurus muncul
GALIH 27,1,Sekarang kalo pesen goride lama banget ga ada supir nya yg mau terima pesanan saya jadi saya terpaksa jalan kaki,2024-01-10 14:29:18,0,NEGATIF,pesan goride banget supir nya terima pesan paksa jalan kaki
is isam,1,"Sekarang susah mau pesan go ride, pagi hari selalu saja driver pada sibuk. Dah malas pakek Gojek",2024-01-10 07:00:03,0,NEGATIF,susah pesan go ride pagi driver sibuk malas pakai gojek
M.raditya Adit,2,Saya kecewa dengan layanan gojek untuk menemukan Driver sangat sulit terutama untuk penggunaan Goride bisa 1 jam untuk menunggu saya harap gojek bisa memperbaiki masalah tersebut untuk cepat mendapatkan driver,2024-01-09 17:26:58,0,NEGATIF,kecewa layan gojek temu driver sulit guna goride jam tunggu harap gojek baik cepat driver
Trianto Ramadhan,5,"Dah bener baguss, Mau daftar goride jabodetabek belom buka""",2024-01-09 14:34:21,1,POSITIF,baguss daftar goride jabodetabek buka
Toni Priyadi,1,"Tolong diperbaiki,kita pesen goride/gocar itu pngen cpt,tp mlh dikasih driver yg jauh,pdhal terdekate ada driver.tolong diberbaiki dong",2024-01-09 06:30:22,0,NEGATIF,baik pesan goridegocar pngen cpt tp mlh kasih driver pdhal terdekate driver baik
IKMAL TAFRIJI,5,giliran pake goride biasa dapetnya motor keren mulu paling sering Aerox sama Nmax tapi pas pake goride comfort malah dapet motor yg b aja Tapi keren si gojek Jadi Transportasi utama buat ke rumah ayang🤗🤣,2024-01-08 00:59:54,1,POSITIF,gilir pakai goride dapetnya motor keren melulu aerox nmax pas pakai goride comfort motor keren si gojek transportasi utama rumah sayang
Budi family,1,kenapa map goride setiap dekat tol pasti di arahi ke lewat tol sehingga tarif tidak sesuai makasih,2024-01-07 22:40:43,0,NEGATIF,map goride tol arah tol tarif sesuai terima kasih
Desi Puspita,1,Gaada yang mau ambil pesanan karna pake voucher lain kali gausa bikin voucher untuk transport seperti goride sama gocar padahal dalam jarak deket ada driver tapi gaada yang mau ambil karna potongan harga 5k.,2024-01-07 17:32:56,0,NEGATIF,uang ambil pesan pakai voucher kali gausa bikin voucher transport goride gocar jarak driver uang ambil potong harga
Galeandra Shandy,2,Goride nya ok gocar nya di tolak Mulu,2024-01-07 10:05:33,0,NEGATIF,goride nya gocar nya tolak melulu
Fatur Rohman,1,jangan bikin akun gojek driver klau gak pada mau narik mah anjer ongkos aja harus besar kenyamnan gak ada di kasih hujan gak mau pada narik padahal gua pesen nya gocar bukan goride bego,2024-01-05 19:12:03,0,NEGATIF,bikin akun gojek driver klau narik mah anjer ongkos kenyamnan kasih hujan narik pesan nya gocar goride bego
hinu kontak,1,"Saya pemakai Gojek sangat Lama ... tapi akhir akhir ini sering kecewa sama aplikasi terutama Gocar dan Goride nya ... nunggu nya terlalu lama (Drivernya jauh jauh),kmd titik jemput sering geser sendiri .... kemudian aplikasi mengganti ganti drivernya sendiri sehingga sebagai penumpang saya menunggu terlalu lama karena diulang ulang nunggu driver",2024-01-04 23:24:42,0,NEGATIF,pakai gojek kecewa aplikasi gocar goride nya tunggu nya drivernya kmd titik jemput geser aplikasi ganti ganti drivernya tumpang tunggu ulang ulang tunggu driver
Alan Arcil,1,"Tiap pesen go ride lama, sekalinya dapet di cancel trs SMA driver nya. Yg makin kesel nya SDH 1 jam TDK ada yg mau ambil",2024-01-04 21:34:09,0,NEGATIF,pesan go ride sekali batal sma driver nya kesel nya jam ambil
novin fabian,1,"pake go ride, knp malah 2 driver yg jemput, operatornya error apa gimana. memalukan sekali. dan bikin salah paham aja... sialan.",2024-01-03 13:57:19,0,NEGATIF,pakai go ride driver jemput operator error gimana malu bikin salah paham aja sial
Cristianus Steven,1,"Terpaksa pakai aplikasi gojek hanya karna ingin pesan goride. udh gk mau pesan gofood krn gak sesuai dg titik antar, kdg mesan sruh antar ke titik nh mlh antr ke t4 lain, gocar juga gt, kdg minta jmput sesuai titik mlh jmput ke t4 lain, mkin update mkin parah bkn mkin berubah",2024-01-02 16:36:26,0,NEGATIF,paksa pakai aplikasi gojek pesan goride pesan gofood sesuai titik kdg mesan sruh titik nh mlh antr gocar gt kdg jmput sesuai titik mlh jmput mkin update mkin parah mkin ubah
Heni Ani,4,"Tolong yah ,buat driver dikasih kelengkapan yang bagus .masa saya perjalanan goride 1 jam an sambil pegangin helm takut lepas atau kabur .karena penguncinya rusak .makasih",2024-01-01 10:56:35,0,NEGATIF,yah driver kasih lengkap bagus jalan goride jam an pegangin helm takut lepas kabur kunci rusak makasih
Haira Hidayatul,1,"aku pesen go ride jam 11 malam pembayaran gopay tpi gaada dapat driver krna katanya lagi sibuk aku coba lgi malah gopay aku yang berkurang seharga go ride nya padahal kan aku gaada naik dapet ojeknya juga engga,, kesel bnget rugi ih akunya jdinya, ojek ga dapat gopay nya berkurang",2024-02-29 23:58:36,0,NEGATIF,pesan go ride jam malam bayar gopay uang driver krna sibuk coba gopay kurang harga go ride nya uang ojek engga kesel bnget rugi ih aku jdinya ojek gopay nya kurang
shela saichla,2,"saya suka gojek banyak promo untuk gofoodnya dan goride. tapi tolong pihak gojek jangan ijin kan drivernya untuk terima double order, atau terima orderan goride/gocar lain saat belum menuntaskan orderan pertamanya :') karna kita tidak tau saat customer sdg sgt terburu"", atau sedang kelaparan, malah harus menunggu lebih lama dr estimasi karna driver harus mengantarkan orderan lain </3",2024-02-29 23:06:22,1,POSITIF,suka gojek promo gofoodnya goride gojek ijin drivernya terima double order terima order goridegocar tuntas order pertama customer buru lapar tunggu estimasi driver antar order
Muhammad Haykel,2,Cemen banget driver gojek pada terutama goride.....giliran hujan gini pada gak berani ambil payah beda sama sebelah cuaca gimana pun tetep mau ambil.....tolong diperbaiki tuh driver yang males² buang jauh² dan tolong sediain jas hujan,2024-02-29 08:27:08,0,NEGATIF,takut banget driver gojek goride gilir hujan berani ambil payah beda belah cuaca tetep ambil baik driver males buang jauh ain jas hujan
Dennyl Zora,1,Apk totong jelas jelas go ride nya ada dekat tapi ngk respon saya terlambat 2 x,2024-02-29 07:02:31,0,NEGATIF,apk totong go ride nya ngk respon lambat
Siti mulyanah,1,"Saya gak ngerti sama system' gojek setiap pesan gofood atau goride selalu lama menunggu karena drivernya terlampau jauh dari posisi resto,atau penjemputan. Saya kasihan sama drivernya kejauhan,padahal saya lihat di maap banyak driver terdekat dari resto/ lokasi. Saya jadi malas pesan dari aplikasi GoJek karena sering terlambat. Dan sekarang saya selalu memesan grab food/grabbike👍👍👍",2024-02-28 20:50:14,0,NEGATIF,erti system gojek pesan gofood goride tunggu drivernya lampau posisi resto jemput kasihan drivernya jauh lihat maap driver dekat resto lokasi malas pesan aplikasi gojek lambat pesan grab foodgrabbike
Iswara Kalbuadi,3,Kenapa sekarang gak ada. Bonus XP setiap pemesanan baik go food maupun go ride,2024-02-28 18:11:11,0,NEGATIF,bonus xp mesan go food go ride
Rizqon Art,4,Saya pelanggan goride dan gosend. Ga ada masalah. Cuma saya kecewa sama go car di Jogja kok rata2 ga niat ya. Padahal kan yg milih acak dr aplikasi juga. Masa cuma karena jauh dikit minta dicancel.. padahal cm 1 km jemputnya.. jarak yg dianter pun jg ga jauh2 amat masih 2-3km. semoga pihak gojek bisa menyortir lagi driver gocar yang cuma iseng2 males2an. Wkwk kacau..,2024-02-28 14:45:45,0,NEGATIF,langgan goride gosend kecewa go car jogja niat milih acak aplikasi dikit dicancel cm jemput jarak anter km moga gojek sortir driver gocar iseng malesan tertawa kacau
イーズキ,1,"Pesan kan gojek buat orang lain, gk sengaja pembayaran pake GO-PAY, karena gak bisa di ganti metode pembayaran nya pake cash. Karena ini saya gk bisa dapet potongan di tempat makan krna saldo GO-PAY saya kurang kepotong goride dan terpaksa harus pake cash. Aplikasi macam apa ini???",2024-02-28 09:16:22,0,NEGATIF,pesan gojek orang sengaja bayar pakai go pay ganti metode bayar nya pakai cash potong makan krna saldo go pay potong goride paksa pakai cash aplikasi
Mas Gombs,5,Mantull banyakin promo gofood dan goride nya pasti lebih bnyak pelanggannya,2024-02-27 22:01:58,1,POSITIF,mantull banyakin promo gofood goride nya bnyak langgan
Mohammad Lutfi,5,Kepada pengguna gojek jika mau order goride mending pakai yang comfort. Karena lebih nyaman dan drivernya pilihan tidak hura-hura. Kendaraan lebih besar dan nyaman,2024-02-27 14:13:31,1,POSITIF,guna gojek order goride pakai comfort nyaman drivernya pilih hura hura kendara nyaman
Thoriq,1,"Go-Ride jembot, pada sombong drivernya, jarak cuma 6km , pada gmau , di tolak, di map deket ada banyak driver nolak semua, app sampah",2024-02-27 00:36:08,0,NEGATIF,goride jembot sombong drivernya jarak km gmau tolak map driver nolak app sampah
little puppy,1,"gila, order goride nunggu l banget ga dspet driver juga, padahal di depan ada driver yang lagi nongkrong. malem2 balik kerja, capek, makasih gojek ga langganan aagi gue",2024-02-25 22:53:17,0,NEGATIF,gila order goride tunggu banget dspet driver driver nongkrong malem kerja capek terima kasih gojek langgan aagi
ardianitaa,5,"semua sudah bagus, dari semua fitur, tapi sayang goride comfort belum tersebar luas ke semua daerah, mungkin hanya di kota kota besar aja huhu",2024-02-25 22:12:18,0,NEGATIF,bagus fitur sayang goride comfort sebar luas daerah kota kota huhu
Adinda Cahyani,5,lebih banyak voucher diskon goride,2024-02-25 14:53:51,1,POSITIF,voucher diskon goride
Pentania Winanti,5,G o ride transit KRL membantu banget terimakasih gojek,2024-02-25 13:41:16,1,POSITIF,ride transit krl bantu banget terimakasih gojek
Wanda nuraini (nda),1,"akun saya ke blokir tolong gimana solusinya, udh ngechat cs responnya sama selalu laporan ditutup. solusi dong!! keterangannya ke blokir dan tidak bisa menggunakan berbagai voucher termasuk goride&gofood. tolong gimana biar normal lagi",2024-02-25 11:02:00,0,NEGATIF,akun blokir solusi ngechat cs responnya lapor tutup solusi terang blokir voucher goridegofood biar normal
Danu Mangun,1,Goride nya lama nyarinya,2024-02-24 20:52:10,0,NEGATIF,goride nya nyarinya
Muhammad Firmansyah Abdullah,1,"Ngisi Gopay Customer tiba-tiba Saldo Raib, transaksi apaan gak jelas, komplain ke CS di oper ke GoPartner Goride 🤣. Eh buka aplikasi GoPartner ada transaksi potongan gopay doong. Ngaco, mau ngisi gopay customer malah di kaitin ke gopay customer.. ngaco ngaco",2024-02-23 13:47:01,0,NEGATIF,isi gopay customer saldo raib transaksi komplain cs oper gopartner goride eh buka aplikasi gopartner transaksi potong gopay doong ngaco isi gopay customer kaitin gopay customer ngaco ngaco
kholifah angrum diningsih,2,"Niatnya mau top up gopay ke driver dengan cara order go ride. pas driver datang, bisa top up dan saldo masuk. tapi dia kira saya mau pergi ke tempat yg saya tuju dan saya harus bayar ongkos trip tersebut. rugi dong!",2024-02-21 10:14:10,0,NEGATIF,niat top up gopay driver order go ride pas driver top up saldo masuk pergi tuju bayar ongkos trip rugi
SAYFA ZENNARIA,5,"Tampilan aplikasi Gojek semakin nyaman untuk dilihat, menarik. Penggunaan aplikasi Gojek hingga saat ini masih nyaman, aman, praktis dan suka order gofood/goride lewat aplikasi Gojek. Semoga bisa nambah terus promo buat gofood-nya hehe.",2024-02-19 20:45:59,1,POSITIF,tampil aplikasi gojek nyaman tarik guna aplikasi gojek nyaman aman praktis suka order gofoodgoride aplikasi gojek moga nambah promo gofood nya hehe
Vindi Kurniawati,3,"setelah update pasti ada masalah, dan masalah yg update sebelumnya blm kelar habis update baru. Developer update apanya si? apanya yg dibenerin? kalu keluar akun habis itu balik lagi, voucher yg sblumnya udah diklaim hilang semua, lenyap. Waktu mau gofood apa goride itu harus dipesen waktu itu juga, alias kalo close apk ntar vouchernya tbtb ilang.",2024-02-19 20:26:23,0,NEGATIF,update update kelar habis update developer update apa si apa dibenerin kalu akun habis voucher sblumnya klaim hilang lenyap gofood goride sen alias close apk sebentar vouchernya tbtb ilang
cintya silmi dhanurendri,5,Tolong driver goride maupun driver gocar jangan asal batalin dan nolak penumpang apalagi sudah langganan pula,2024-02-19 12:47:21,0,NEGATIF,driver goride driver gocar batalin nolak tumpang langgan
Fathir & Syifa,1,"Maaf ini kenapa pasar polis goride bisa motong di akun customer saya??? Sebelumnya ga pernah kaya gini, harusnya pasar polis ga punya akses motong saldo akun customer... Baru kali ini ada potongan pasar polis goride di akun customer...",2024-02-18 05:54:46,0,NEGATIF,maaf pasar polis goride motong akun customer kaya gin pasar polis akses motong saldo akun customer kali potong pasar polis goride akun customer
MuhammaD jamiL,1,"kalau malam susah amat cari ojek, goride",2024-02-17 21:37:11,0,NEGATIF,malam susah cari ojek goride
Deva Channel,1,"Persen goride terlalu lama lalu saya batalkan, dan saldonya terpotong. Kecewa saya chat cs tidak membantu apa2.",2024-02-17 20:49:54,0,NEGATIF,persen goride batal saldo potong kecewa chat cs bantu
Niken Priska Yuni Hapsari,5,"puas dg aplikasi ini khususnya go ride dan go send, pas bgt buat kebutuhan kami sehari2.",2024-02-16 15:50:49,1,POSITIF,puas aplikasi go ride go send pas banget butuh hari
Ka,1,"males ah, lama bgt nunggu nya, saya pesen goride dari jam 06.40 sampai jam 07.02 belum dapet dapet, smg bs d tingkatkan lg, klo kyak begini jd mls",2024-02-15 07:03:00,0,NEGATIF,males ah banget tunggu nya pesan goride jam jam dapet smg tingkat lg kyak malas
Muji Yanto,5,"Parah banget gojek pagi ini sampai coba 3x susah dapat driver goride padahal di aplikasi driver banyak , akhirnya terpaksa batalin tidak jadi pakai gojek",2024-02-15 06:57:01,0,NEGATIF,parah banget gojek pagi coba susah driver goride aplikasi driver paksa batalin pakai gojek
Suliptawati Riyadi,5,"Sangat membantu dlm beraktifitas, semoga sering sering kasih diskon goridenya",2024-02-14 18:04:25,1,POSITIF,bantu beraktifitas moga kasih diskon goridenya
abdul 313,1,"Sumpah utk pelayanan nya buruk bgt go ride comfort dpet harga 55,500 TPI g ada yg mau ambil pesanan saya nungguin dpet pesanan sampe 43 menit sampai berkali kali dan g dpet lalu saya batalkan dan saya pesan ulang pake g ride comfort lagi keuntungan yg di dapat harusnya sesuai dgn apa yg di beritahu saat memesan TPI malah dpet yg TDK sesuai di aplikasi tertulis dpet motor nmax yg dteng malah motor Scoopy",2024-02-14 16:11:44,0,NEGATIF,sumpah layan nya buruk banget go ride comfort dpet harga ambil pesan nungguin dpet pesan menit kali kali dpet batal pesan ulang pakai ride comfort untung sesuai beritahu pesan dpet sesuai aplikasi tulis dpet motor nmax dteng motor scoopy
Regard Putra,1,"Sekarang pesen gofood lama banget sampenya, pakai ada mode hemat dan reguler, padahal jarak resto 1km sampenya satu jam. Setiap hari order goride juga entah kenapa driver gojek nya ngepasi lemot semua",2024-02-12 16:34:32,0,NEGATIF,pesan gofood banget sampenya pakai mode hemat reguler jarak resto km sampenya jam order goride driver gojek nya ngepasi lemah otak
Muhammad Adib Abdurrouf,1,"ketika di tempat ramai ojol dengan mitra gojek sulit sekali mendapatkan goride maupun gocar. mereka sengaja mematikan aplikasi demi menawarkan harga yang lebih tinggi kepada customer. maka dari itu sulit sekali dapat goride ketika di tempat tersebut sedang ada event atau acara. tolong tindak tegas agar setidaknya sama-sama menguntungkan, bukan hanya menguntungkan bagi sebelah pihak",2024-02-12 06:24:30,0,NEGATIF,ramai ojol mitra gojek sulit goride gocar sengaja mati aplikasi tawar harga customer sulit goride event acara tindak untung untung belah
Shah rul Khan,2,Setelah update gak ada lagi promo buat goride jadi kecewa lah sama gojek,2024-02-11 09:26:01,0,NEGATIF,update promo goride kecewa gojek
Muhammad Nur Vanani,2,Kebanyakan iklan ganggu saat mau pesen go rider,2024-02-10 19:30:16,0,NEGATIF,banyak iklan ganggu pesan go rider
M P,1,Ini kalau dapat driver go ride nya jauh banget..padahal yg dekat banyak..gara² bgini saya jadi telat naik kereta api,2024-02-07 17:41:48,0,NEGATIF,driver go ride nya banget gara bgini lambat kereta api
Azzam Alfahrezi,5,"Gojek sekarang makin oke,, ada promo setiap hari baik goride, gocar, gofood maupun yg lain trus tingkatkan pelayanan juga khusus paylater n pinjaman tunai. Jgn memandang dari kredit score yg dulu, yg pntg kredit score yg skrg.. Kasih kesempatan utk yg butuh dgn nominal n batasan tertentu. Pasti akan tepat wktu utk pembayaran paymentnya. Trim's bintang 10 pas buatmu",2024-02-07 11:02:57,1,POSITIF,gojek oke promo goride gocar gofood tingkat layan khusus paylater pinjam tunai pandang kredit score pntg kredit score skrg kasih sempat butuh nominal batas wktu bayar paymentnya terima kasih bintang pas buat
