userName,review_text,score,sentiment,label,date
Heru Aditya Dermawan,"Kalo habis hujan atau pas hujan pesen goride dpt driver nya yg jauh sering pada di cancel atau lama dpt drivernya sekalinya dpt,dpt drivernya yang jauh,beda dr aplikasi sebelah cepet dpt drivernya deket lagi biarpun hujan² ordernya ,,padahal driver gojeg banyak yg didekat malah dapatnya yg jauh.",1,Negative,0,2024-12-12 10:55:57
Delfi Arslan,"Makin sering menggunakan gojek promo makin kecil di go food dan goride. Ongkos juga semakin mahal. Dan kasih promo juga harus nominal berpa, ongkos kirim juga di naikin baru promo bisa di pakai. Harusnya jika pelanggan makin sering pakai bukan makin mahal. Dan kenapa tidak bisa ngechat resto ketika pesanan tidak sesua? Kita tidak bisa komplain klau tidak resto chat duluan ini mengesalkan. Juga sekarang tidak bisa pembayaran kartu debit/visa untuk membeli token listrik. Tolong di perbaiki lagi",1,Negative,0,2024-12-12 09:27:39
Salsa Regina,"sering dibatalin ga jelas goridenya,",1,Negative,0,2024-12-11 21:53:25
Rohedy Adrian,"Woi harga goride nya kok nambah"" dari hari ke hari,tempat nya sama aja kok,masa... Gara gara cuaca panas atau hujan jadi naik,kalo hujan ok lah(tapi ga ngotak juga kalo kali 2 njir) Oh...kualitas nya yang bikin nambah? perasaan sama aja deh,mau hemat atau comfort hoki""an aja,liat Maxim iya murah no diskon ga menarik tapi segitu aja terus...:)",3,Negative,0,2024-12-10 11:14:59
Rini Dara,"Aplikasi bodoh, tidak ada yang mau ambil goride, driver bodoh",1,Negative,0,2024-12-09 13:14:44
Iyan Fedri,"Padahal sudh pesan goride dan sudah terkonfirmasi oleh pengguna goride, namun malah kembali / pindah pengguna ke goride lain nya. Jadi secara tidak sengaja saya pesan 2 goride sekaligus, mohon klarifikasi min. Ini gmn yah ko bisa begini, ??",2,Negative,0,2024-12-09 10:14:33
Mismayanti Firdausy,"Kalau ada bintang setengah, udah ngasih bintang setengah. Rutenya sinting, dibikin jauh muter-muter. Kemarin goride, sekarang go bluebird. Ngasih rute yang bener dong, buang-buang waktu sama duit konsumen aja!!!!",1,Negative,0,2024-12-09 08:35:53
Witri Epilia,Bikin layanan apes semua giliran di gocengin gacor tpi pas ada slot GO-RIDE pendapatan normal gaada sama sekali orderan masuk .. Eh dora yg bener bikin aplikasi napa,1,Negative,0,2024-12-08 17:33:21
Vermak levis Alisya,Saya suka pakai gojek.tapi di Sukatani utk goride kenapa tidak terjangkau yaa..,5,Negative,0,2024-12-07 14:57:28
agus suryana,"Kayaknya disini komentarnya... Buat para customer yang budiman, mohon kalo lg pesan di gojek terutama goride/hemat, jngn gampang main cancel. Tau ga akibatnya buat driver? Itu driver yg kalian cancel bisa jeda ga dapet orderan, bahkan sampe seharian. Trus kalo cancel jgn main cancel yg ga relevan, dapet driver jaraknya jauh, alasan cancelnya driver yang minta. Itu udah bohong trus nyusahin drivernya. Sekali lagi buat para customer yang budiman, aplikasi sudah banyak bantu, bantu juga drivernya🙂",5,Positive,1,2024-12-07 09:08:08
Roslaini Zain,"Sudah 3 hari saya cek mau pesan goride ke kampus, pas liat rutenya aneh banget diputerin jauh, harga jadi 2 kali lipat rute normal. Saya jadi ngga bisa pakai gojek tiap ke kampus. Biasanya nggak kayak gini. Mohon diperbaiki",1,Negative,0,2024-12-06 08:34:15
Eka Wiranti,mau di rating kan? NOH BINTANG 1! setiap urgent perlu gocar/goride SELALU SELALU DAN SELALU GAK BISA! DRIVER NGE CANCEL SEENAKNYA! PADAHAL UDH SEPAKAT BAKAL DITUNGGU TIBA2 CANCEL!! APAAN BGT.,1,Negative,0,2024-12-05 12:16:00
Regian Febriana,"goride nya ngebug padahal ada jalur lurus doang tapi di rute apknya disuruh muter"" yg bikin tarifnya mahal",2,Negative,0,2024-12-05 10:50:39
Putriannisatrihapseri 29,"aku slalu pesen goride comfort yg motor nya besar, ehh pas dateng motor nya kecil, udh byr lebih mahal tapi malah gitu, di apk motor nya nmax ehh dtng nyaa motor mio, masa gitu tolong di perbaki yaa, gk mau rugi bgt itu orang nyaa",1,Negative,0,2024-12-04 12:08:24
shafa Nur Zuleika,baru mencet goride masa langsung ke pesan? apk error belum mencet mau kemana udah kepesan,4,Negative,0,2024-12-04 06:39:15
Ayu Januari Ariyani,"Hari ini pesen goride, drivernya ngeselin banget.. 2 driver minta dibatalin alesannya kejauhan.. Padahal kalo dilihat dari map, posisi driver masih wajar.. Makin kesini driver goride aneh-aneh.. Uda dapet drivernya lama, sekalinya dapet driver model kayak gitu",1,Negative,0,2024-12-02 19:23:29
Clara Ayudya,"MENGECEWAKAN! Saya pelanggan gojek sudah bertahun2, baru kali ini saya kecewa. Gofood goride gocar makin mahal, saya masih pake. Mau komplain langsung tidak ada tempat kritik dan saran di aplikasinya!",1,Negative,0,2024-12-02 19:20:15
Muhammad Pribahasa,"biaya pelayanan mohon di kurangi untuk gofood. masa 2,3km 18ribu, di atas 5km 36ribu yang benar saja ini gofood bukan goride.",2,Negative,0,2024-12-01 05:59:53
Krisnoto Suherno,Gojek melakukan blunder dengan cara customer kalau mau pesan go-ride prioritas baru dapat driver yang dekat kalau tidak prioritas dapatnya driver jauh tapi kalau mau prioritas kena biaya tambahan lagi akhirnya customer pada pindah ke aplikasi lain.yang kocak lagi driver di suspen gara gara nglewatin order padahal disini orang kantor gojek yg salah kenapa penjemputan jauh..harusnya yg buat kebijakan ini juga di suspen karena membuat castamer susah dapet driver,1,Negative,0,2024-11-30 22:38:45
Rhoma Zekky,"Tidak ada yg mau ambil orderan goride padahal hujan sudah reda, habis waktu lama menunggu dan tidak ada yg mau ambil. Kecewa",1,Negative,0,2024-11-30 22:03:51
Firman Hidayat,"Pelayanan nya makin sampah, udah dapat driver susahnya minta ampun, gk goride, gofood, GO-SEND susah sekali dapat driver, Mending hapus aja ni aplikasi gk usah di pakek, beter grab sih",1,Negative,0,2024-11-30 15:22:33
Yogi Hidayat17,"Baru ganti no hp goride ,tapi blm bisa beli kuota internet di gopay,minta tolong dibantu y",5,Positive,1,2024-11-30 11:00:17
Didiet Sulistio,"Tolong lah diubah kelengkapan untuk register konsumen.Disertakan berat badan,agar aplikasi gopartner bisa sortir penumpang goride biasa atau goride comfort.",2,Negative,0,2024-11-29 20:37:53
Suminah,Semoga promo goride nya tambah banyak..,5,Positive,1,2024-11-29 14:01:10
Lintang Arista,"Halo gojek. Saya pengguna setia gojek sejak awal gojek rilis. Sejak gojek hanya menyediakan layanan goride saja. Namun saya kecewa dengan layanan dan kemitraan gojek akhir-akhir ini. Pengalaman yang paling membuat saya kecewa adalah order gocar saya berkali-kali di cancel oleh driver-driver terdekat tanpa alasan jelas. Berkali-kali, hingga hampir setengah jam lamanya saya menunggu driver lain untuk mengambil order saya. Setelah itu saya mendapat driver yg jarak tempuhnya hampir 40 menit lamanya",1,Negative,0,2024-11-29 08:10:48
Novi Riyanti Rahman,"Parah pesan gofood, gojek n goride pakek debit. Mereka yang batalin.. saldo gak dj balikin. Kita buat laporan suru ke bank. Kita ke bank suru lapor ke gojek. Bangshat bangei. 2 tahun kejadian begini. Sialan bangt. Aplikasi bangke. Korupsi",1,Negative,0,2024-11-28 16:35:25
Eko Susanto,"Dapat driver nya selalu jauh, apalagi GoRide comfort nya aduhai jauhnya juara",1,Negative,0,2024-11-28 09:14:46
Agung Prabowo,order goride lama kali munculnya🥱,1,Negative,0,2024-11-27 22:13:32
Sams Official,"Nyesel banget sumpah , udah langganan 30 hari , eh dapat diskon malah di samain sama diskon free alias gratis , saya kira naik goride bakalan jadi 5rb kali , setelah langganan sama aja diskon cuma 3500 doang anjirr , udah di batalin langganan malah gak balik uangnya , nyesek banget , jangan coba-coba deh langganan gojek , mending aplikasi kuning yg sebelah murah walaupun gak ada diskon nya",1,Negative,0,2024-11-27 15:17:35
Sirat Tudin,"Makin kesini makin buruk pelayanannya. Pesen goride lama banget, pdhl di apk banyak driver yg dekat tapi dpt yg jauh.",1,Negative,0,2024-11-27 12:52:41
kamim Mahfud,"INI KENAPA MASIH AJA GORIDE PENJEMPUTAN POSISI DRIVER JAUH,HARUS NYA ITU DRIVER TERDEKAT BUKAN MALAH PALING JAUH DAPAT NYA 😞 SISTEM BEGINI TOLONG DIRUBAH DONK",1,Negative,0,2024-11-26 18:50:40
FRAGIL IBNU SIDIQ,"GoFood selalu menjadi pilihan saya karena promo diskon makanannya, tapi biaya pengantaran masih terasa cukup tinggi meskipun sudah menggunakan promo. Ongkos GoRide juga cukup mahal. Saya harap Gojek bisa mempertimbangkan untuk menyesuaikan biaya pengantaran agar lebih seimbang dan memberikan pengalaman yang lebih nyaman bagi semua pengguna. Terima kasih atas layanannya!",2,Negative,0,2024-11-26 00:02:42
Agentss Miloverst,"Gojek ini sudah bagus sekali apalagi saya buat pergi sehari hari tapi kenapa promo dari ""GORIDEAJA"" kok gk bisa dipakai lagi ya?",1,Negative,0,2024-11-25 00:14:48
Janee Alxr,"untuk goride bagus cuma kadang dapat driver yang leletnya minta ampun, udah maps ga jalan jalan ketambahan lokasi driver yang semakin jauh, kalo ga niat narik ya gausah diterima pesanannya, rugi buat pelanggan yang udah nunggu. dan lagi GAUSAH ADA FITUR GOJEK PLUS!!!!!! GA ADA GUNANYA JUGA FITUR ITUUUU!!!",1,Negative,0,2024-11-24 15:02:01
wandioto purba,"Kapan gojek ada pitur utk roda tiga seperti bajaj atw sejenisnya, karena kalau mau pesan utk kapasitas 2 penumpang oder goride terpaksa dua motor dan kalau gocar ongkir kemahalan, sementara di aplikasi sikuning sdh ada , masa gojek tokopedia kalah cepat sama si kuning.",5,Positive,1,2024-11-23 20:43:55
Manusia,Bagus aja. Tapi sering dicancel kalo order gocar atau goride pake mode hemat. Katanya kena potongan gede di drivernya. Ya kan aing cuma pake opsi yang disediakan gojeknya. Ko protesnya ke customer. Ngadi ngadi amat.,5,Negative,0,2024-11-22 12:11:19
Lyaadlp,"buat kesel aja, kalo misal pesen gocar/goride pagi pagi pasti ga ada driver nya, semisal ada pun lama nya minta ampun, pokoknya kecewa deh!!",2,Negative,0,2024-11-21 06:42:53
Yoga Mario Bimoo,Biayanya super mahal khusus gofood anehnya ketika saya tanya driver sangat minim yang mereka dapat maka dari itu saya selalu pickup sendiri lalu saya pesen gosend ongkos murah sisahnya lebih baik saya kasih tips ke driver dari pada saya menyumbang uang saya ke gojeknya yang ga ngapa²in sama kalo saya pesen goride saya selalu menawarkan ke driver mau offline atau online biar uangnya full buat driver biar mereka ga kena potongan setidaknya membantu mereka,1,Negative,0,2024-11-21 01:48:29
Osis Marlinda,Anjir nih gojek nga di bukak apk nya masa pesan goride sendiri Dibilang mau ngerjain lagi Orang bangun tidur langsung di bilang ngerjain🥱,2,Negative,0,2024-11-20 21:30:12
Ashifa Nurul Fathia,"Kalo gofood bagus sih yaa, kalo goride pengemudinya kenapa pd nyebelin. Jd apk yg trpakainya gofood saja. Thankyou",5,Negative,0,2024-11-20 14:19:41
Fitri Qeisya,Kenapa saya pesan goride susah bgt cari drivernya.? Kecewa bgt beda sama aplikasi sblh garcep,1,Negative,0,2024-11-19 19:29:16
Izzan Maulana,"Gak suka bet asli make gojek, harga gocar hujan dikit langsung naik 2x lipat dan sangat gak masuk akal, pas jarang make gojek vouchernya bisa sampe 100 lebih pas udah sering make langsung voucher jadi ghoib, gak ada 1 pun dalam setahun gitu pelit banget. Sangat amat kecewa, lalu kalo bisa driver goride itu kalo nyetir yang aman dong, motong sana sini gak ada rasa bahaya, mau dikasih bintang 1 tapi kasian, tolong dong pelatihan drivernya lebih diperketat. Sangat amat kecewa dengan Gojek skrng.",1,Negative,0,2024-11-19 16:54:16
Caca Nababan,"Kenapa tiba tiba goride tidak bisa membawa penumpang 2 orang anak SD, padahal semalam masih bisa🥺",4,Negative,0,2024-11-19 16:35:04
Aa Bhogel07,Kenpa kalau naik GoRide kalau bawa kardus/bawa karung isi beras harus di pangku sama penumpang gak di depan emngnya knpa ya 😏,5,Neutral,0,2024-11-19 10:54:35
irwan 999,"Pesen gocar atau goride kalau hari minggu ongkos nya naik apa lagi kalau hari hujan ongkos nya naik 2kali lipat, bedah jauh sama ojol lain hari Minggu atau hujan ongkos nya tetap normal tidak naik.",1,Negative,0,2024-11-18 17:42:20
Ahmad Wadud,Semakin lama semakin gk guna nih aplikasi.. Saya pesen goride.. di gambar banyak skali driver terdekat...eh nyantol nya di jepang saking jauhnya..mana skrg ongkir nya mahal banget..maaf untuk kali saya pindah ke apk sebelah gk ribet.......!!!!,1,Negative,0,2024-11-18 14:17:36
Stephen Wijaya,Gorideaja dihapus busuk bener,1,Negative,0,2024-11-18 00:43:43
Yoga Fitra Pratama Klaten Jawa Tengah,"Gojek semakin ke sini berubah ya? Untuk tukar kode promo GORIDEAJA masak harus nunggu jam 00 dinihari? Kira-kira bagaimana kebijaksanaan dari deceloper, padahal kode yang lain jam berapapun bisa, hari apapun bisa selagi masih dalam satu pekan.",1,Negative,0,2024-11-18 00:34:24
Sam Sung,"Eror terus kalo masukin kode, udah gada promo goride juga",1,Negative,0,2024-11-18 00:07:32
Fazle Rex,Ga jelas....lagi ada urusan biar cepet pesan goride...malah tujuan tidak terdeteksi sama sekali. Gak Bisa pesen sama sekali.,5,Negative,0,2024-11-17 21:19:28
brilian shop1212,"Untuk goride dan gocar ,cukup lumayan voucernya ,tapi gofood nya saya jarang pake karna ada aplikasi lain jauh lebih murah",5,Positive,1,2024-11-17 17:40:43
honeeyy mooika,"duh maaf maaf nih ya, udh dpt 2 driver yg problematik, satunya pas pesen gofood kembalian ny 21ribu ga di tf, yang satunya pesen goride ojolnya protes krna dia hrs muter 7km lagi, bener bener bikin ga nyaman saya tolong tindakan lebih lanjutnya ya gojek, kenyamanan no 1 kalo drivernya menye² problematik gini mana ada yg mau pesen, sy udh baik hti ga kasi bintang 1 ya.",4,Negative,0,2024-11-17 13:17:49
nurul hikmah,"Gofood super mahal, ongkirnya biaya layanannya sgala macem, udh gitu ga ada promo potongan apapun. Pake gojek cuma buat kebutuhan gocar goride sama tiket kereta doang.",4,Negative,0,2024-11-15 05:49:44
Muhammad Bayu pramudita,"Kecewa sih sama goride, hemat sama reguler tetep aja gada bedanya, harusnya yang reguler untuk motor mesin 150CC keatas kaya vario, pcx, nmax, dan hemat kategori 125CC kebawah, aku bayar lebih ke reguler untuk mendapatkan motor kecil, seriosly?, sempit bgt, kalo misalkan pesen gocar kitanya lagi buru2 bisa kena macet, jadi tolong dikasi kategori motornya!",2,Negative,0,2024-11-13 15:32:58
Bela Linata,"gojek harus evaluasi mitranya lagi nih. nyari driver hujan² susah bgt. padahal ordernya gocar, bukan goride. tp susah bgt dapetnya. kalo ttg aplikasinya sih, oke oke aja lah.",1,Negative,0,2024-11-13 14:03:22
alfaaza store,Selalu repeat order goride dan gocar mempermudah saat diperlukan Driver dan rider baik baik dan sopan,5,Positive,1,2024-11-13 08:43:08
Dinda Zulfania,"Susah banget sekarang kalo pesen goride dapet drivernya, sekalinya dapet lokasi driver jauh dr lokasi pickup(jemput customer)",1,Negative,0,2024-11-13 07:55:09
Tv Renyek,"pake apk ini dari thn 2018an, tp pas daftar paylater gagal terus hingga sekarang, emang sih jarang goride & gocar, tapi sring gofood, dan udah berlangganan plus juga /6bulan walau dari tokped",1,Negative,0,2024-11-12 07:27:26
Dwi Pratami,"Drivernya di tatar lg deh yg goride, klo gamau ribet gausa jd driver ojol 🙃 pdhl ga pake promo lho.",1,Negative,0,2024-11-11 23:52:06
Rafi Herdiansyah,"Setiap pesen gocar atau goride,susah nyangkut nya, apalagi kalau udh mesen gocar pas hujan, susah bgt nyangkut nya, meskipun udh dapat drivernya, tapi tiba tiba dibatalin sama drivernya, mohon perbaiki",1,Negative,0,2024-11-11 17:49:33
7239Andi Yuni arto,Nunggu order goride sampe se-jam gak ada yang mau nganterin. KECEWA,1,Negative,0,2024-11-11 00:06:05
Guruh Hali Setyawan,Hati2 kalau naik goride gojek ...topi tertinggal nyangkut d helm saja ti tilep sama drivernya ...sangat kecewa seminggu gak ada kejelasan atau sudah kerjasama ...coba kalau barang berharga apa gak bahaya kalau topi saja d curi begini,1,Negative,0,2024-11-10 10:27:36
BOBBY “Pethouse”,"Ongkos GO-RIDE mahal sekali Jarak dekat aja 20rb Blom lg ongkir gofood sma ongkir belaja, Kalahin ojek pangkalan Sungguh menguras dompet",1,Negative,0,2024-11-09 16:37:59
Khafa Fitri Riano,"Gojek sekarang makin buruk ! Mencari Driver ny tidak dapat-dapat , Padahl saya tidak membatalkan pesanan dan saya menunggu 15-20 menit dan saya order lagi namun hasilnya sama saja.. tambah banyak bug saya ingin memesan makanan atau Goride",1,Negative,0,2024-11-08 06:03:20
M.Adji.P_ TS_C,"Gak jelass!!!!, isi gopay terus pesen goride lah malah out² sndiri + saldo gopay udah kesedot, anjingg emang",1,Negative,0,2024-11-07 19:52:03
Dita Putri,"apaan, langganan gojek plus malah jadi mahal tarifnya, sana aja kaya ga pake promo, malah rugi. yang belum langganan gausa langganan aja, vc banyak di gosend saya kan butuhnya goride malah vc dikit banget!",3,Negative,0,2024-11-07 11:13:19
Nemu Hp,"Gofood 5000, gofood ops 5000, goride slot...gosend slot bandung, semua dibikin slot, goride nego tau muncul apa udah ganti slot...aplikator ingin untung banyak dgn potongan dan biaya jasa aplikasi... algoritma di bikin gacor dgn Aceng dan slot yg reguler dibikin anyeb...",1,Negative,0,2024-11-05 21:40:54
Nahel Ganteng,"ajg susah bgt dapet goride nya babi anjgg, pdhal rute deket, cuaca bagus baaabbbyiik",1,Negative,0,2024-11-04 17:12:51
Isnani Masania,"enak sih goride nya, TAPI kenapa cuman hujan rintik gerimis dikit doang driver nya ga mau ambil orderan gofood, masa ga punya jas ujan sih anjir....orng laper bgt udh nunggu hampir 2 jam sampe 2x mesen dan ngechat ke ig resto nya anjir bgt dah gojek ga jelas, restonya sampe ss ada yg pesen 3 orng ga dapat driver, tolong deh ini driver nya ujan dikit doang pada males, ga usah jadi gojek anjg!!",1,Negative,0,2024-11-03 19:47:29
Annisa Vania Salsabila,"1. Kalo hujan, susah cari driver go-ride. Orang mah butuh buat pulang. Gimana sih? 2. Banyak bug jir. Biasanya begitu diantar ada notifikasinya, sekarang harus buka aplikasi dulu baru keluar notifnya.",1,Negative,0,2024-04-15 22:02:15
Rima Febri Ani,"Tolonglah untuk promo goride dan gocar ini segera dikembalikan lg hemat pemakaian selama seminggu seperti awal mula pakai apk ini, jangan pas udh dimasukin kode promonya kadang suka ngelag atau ga nanti udh masuk kode promonya pas mau dipakai fitur goride dan gocarnya suka ga dapet potongan harga",1,Negative,0,2024-04-15 19:33:44
Muhammad Irfan,"Gojek pake segala Ikut kampanye Gibran pas pilpress program makan siang gratiss Bakal sepii kau d tinggalin Sama customer kau,,, Customer beralih Ke Grab & Maxim !!! Argo terlalu murah ke dompet gopay mitra driver, yg kau buat seperti sapi perah Nganter jarak 5 kilometer 12000 Bensin motor driver yg beli Pulsa driver sendiri beli Handphone juga driver sendiri yang beli Goride sudah sepii Peminatnya sekarang Orang2 beralih ke kendaraan pribadi.",1,Negative,0,2024-04-15 10:37:53
Muhammad Fadlurrahman Ishak,Pesan goride ke sekolah dan pesan gofood untuk makan siang butuh minimal waktu 20 menit bru dapat driver. Pelayanan terburuk 7 tahun berlalu ternyata masih sama saja👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼,1,Negative,0,2024-04-14 23:06:15
MAHATIR MUHAMMAD ABDUH,"Apk tolol, mau pesan gojek dngb goride Eror trus",1,Negative,0,2024-04-14 19:50:29
Just Amf,"Layanan goride gojeknya sekarang makin parah,banyak banget driver yang gak jelas,sering nge-chat aneh2 bahkan nge-batalin atau meminta kita untuk membatalkan pesanan kita. Sering aku batalin karna driver ngasih alasan kalau dia sedang mengantar tamu,dan setelah aku batalin ternyata itu berpengaruh ke akun aku jadi lebih lama menemukan driver atau bahkan tidak mendapatkan driver sama sekali. Tolong untuk pihak gojek kerjasamanya",1,Negative,0,2024-04-14 18:57:46
leody suastika,Tidak pernah di kasi promo setiap order gofood atau goride atau gocar.,1,Negative ,0,2024-04-14 15:47:03
Aqilla Putra,Berikan option edit alamat ketika kita sudah memesan gofood seperti yang ada di goride,5,Positive,1,2024-04-13 09:56:01
mul yana,"Udah sering pake Gojek mesen makan atau pun goride tetep aja sampai detik ini ga di buka2 Gopaylater atau Gopinjam nya, masa kalah sama yg baru daftar dan order cuma beberapa doang langsung bisa dapet limit gopaylater, Anehh banget lumayan kecewa si sama Aplikasi ini merasa ga Adil.",1,Negative,0,2024-04-12 21:32:56
