user_name,rating,review_text,date,label,sentiment
Desi Puspita,1,Gaada yang mau ambil pesanan karna pake voucher lain kali gausa bikin voucher untuk transport seperti goride sama gocar padahal dalam jarak deket ada driver tapi gaada yang mau ambil karna potongan harga 5k.,2024-01-07 17:32:56,0,Negative
Galeandra Shandy,2,Goride nya ok gocar nya di tolak Mulu,2024-01-07 10:05:33,0,Negative
Fatur Rohman,1,jangan bikin akun gojek driver klau gak pada mau narik mah anjer ongkos aja harus besar kenyamnan gak ada di kasih hujan gak mau pada narik padahal gua pesen nya gocar bukan goride bego,2024-01-05 19:12:03,0,Negative
hinu kontak,1,"Saya pemakai Gojek sangat Lama ... tapi akhir akhir ini sering kecewa sama aplikasi terutama Gocar dan Goride nya ... nunggu nya terlalu lama (Drivernya jauh jauh),kmd titik jemput sering geser sendiri .... kemudian aplikasi mengganti ganti drivernya sendiri sehingga sebagai penumpang saya menunggu terlalu lama karena diulang ulang nunggu driver",2024-01-04 23:24:42,0,Negative
Alan Arcil,1,"Tiap pesen go ride lama, sekalinya dapet di cancel trs SMA driver nya. Yg makin kesel nya SDH 1 jam TDK ada yg mau ambil",2024-01-04 21:34:09,0,Negative
novin fabian,1,"pake go ride, knp malah 2 driver yg jemput, operatornya error apa gimana. memalukan sekali. dan bikin salah paham aja... sialan.",2024-01-03 13:57:19,0,Negative
Cristianus Steven,1,"Terpaksa pakai aplikasi gojek hanya karna ingin pesan goride. udh gk mau pesan gofood krn gak sesuai dg titik antar, kdg mesan sruh antar ke titik nh mlh antr ke t4 lain, gocar juga gt, kdg minta jmput sesuai titik mlh jmput ke t4 lain, mkin update mkin parah bkn mkin berubah",2024-01-02 16:36:26,0,Negative
Heni Ani,4,"Tolong yah ,buat driver dikasih kelengkapan yang bagus .masa saya perjalanan goride 1 jam an sambil pegangin helm takut lepas atau kabur .karena penguncinya rusak .makasih",2024-01-01 10:56:35,0,Negative
Haira Hidayatul,1,"aku pesen go ride jam 11 malam pembayaran gopay tpi gaada dapat driver krna katanya lagi sibuk aku coba lgi malah gopay aku yang berkurang seharga go ride nya padahal kan aku gaada naik dapet ojeknya juga engga,, kesel bnget rugi ih akunya jdinya, ojek ga dapat gopay nya berkurang",2024-02-29 23:58:36,0,Negative
shela saichla,2,"saya suka gojek banyak promo untuk gofoodnya dan goride. tapi tolong pihak gojek jangan ijin kan drivernya untuk terima double order, atau terima orderan goride/gocar lain saat belum menuntaskan orderan pertamanya :') karna kita tidak tau saat customer sdg sgt terburu"", atau sedang kelaparan, malah harus menunggu lebih lama dr estimasi karna driver harus mengantarkan orderan lain </3",2024-02-29 23:06:22,1,Positive
Muhammad Haykel,2,Cemen banget driver gojek pada terutama goride.....giliran hujan gini pada gak berani ambil payah beda sama sebelah cuaca gimana pun tetep mau ambil.....tolong diperbaiki tuh driver yang males² buang jauh² dan tolong sediain jas hujan,2024-02-29 08:27:08,0,Negative
Dennyl Zora,1,Apk totong jelas jelas go ride nya ada dekat tapi ngk respon saya terlambat 2 x,2024-02-29 07:02:31,0,Negative
Siti mulyanah,1,"Saya gak ngerti sama system' gojek setiap pesan gofood atau goride selalu lama menunggu karena drivernya terlampau jauh dari posisi resto,atau penjemputan. Saya kasihan sama drivernya kejauhan,padahal saya lihat di maap banyak driver terdekat dari resto/ lokasi. Saya jadi malas pesan dari aplikasi GoJek karena sering terlambat. Dan sekarang saya selalu memesan grab food/grabbike👍👍👍",2024-02-28 20:50:14,0,Negative
Iswara Kalbuadi,3,Kenapa sekarang gak ada. Bonus XP setiap pemesanan baik go food maupun go ride,2024-02-28 18:11:11,0,Negative
Rizqon Art,4,Saya pelanggan goride dan gosend. Ga ada masalah. Cuma saya kecewa sama go car di Jogja kok rata2 ga niat ya. Padahal kan yg milih acak dr aplikasi juga. Masa cuma karena jauh dikit minta dicancel.. padahal cm 1 km jemputnya.. jarak yg dianter pun jg ga jauh2 amat masih 2-3km. semoga pihak gojek bisa menyortir lagi driver gocar yang cuma iseng2 males2an. Wkwk kacau..,2024-02-28 14:45:45,0,Negative
イーズキ,1,"Pesan kan gojek buat orang lain, gk sengaja pembayaran pake GO-PAY, karena gak bisa di ganti metode pembayaran nya pake cash. Karena ini saya gk bisa dapet potongan di tempat makan krna saldo GO-PAY saya kurang kepotong goride dan terpaksa harus pake cash. Aplikasi macam apa ini???",2024-02-28 09:16:22,0,Negative
Mas Gombs,5,Mantull banyakin promo gofood dan goride nya pasti lebih bnyak pelanggannya,2024-02-27 22:01:58,1,Positive
Mohammad Lutfi,5,Kepada pengguna gojek jika mau order goride mending pakai yang comfort. Karena lebih nyaman dan drivernya pilihan tidak hura-hura. Kendaraan lebih besar dan nyaman,2024-02-27 14:13:31,1,Positive
Thoriq,1,"Go-Ride jembot, pada sombong drivernya, jarak cuma 6km , pada gmau , di tolak, di map deket ada banyak driver nolak semua, app sampah",2024-02-27 00:36:08,0,Negative
little puppy,1,"gila, order goride nunggu l banget ga dspet driver juga, padahal di depan ada driver yang lagi nongkrong. malem2 balik kerja, capek, makasih gojek ga langganan aagi gue",2024-02-25 22:53:17,0,Negative
ardianitaa,5,"semua sudah bagus, dari semua fitur, tapi sayang goride comfort belum tersebar luas ke semua daerah, mungkin hanya di kota kota besar aja huhu",2024-02-25 22:12:18,0,Negative
Adinda Cahyani,5,lebih banyak voucher diskon goride,2024-02-25 14:53:51,1,Positive
Pentania Winanti,5,G o ride transit KRL membantu banget terimakasih gojek,2024-02-25 13:41:16,1,Positive
Wanda nuraini (nda),1,"akun saya ke blokir tolong gimana solusinya, udh ngechat cs responnya sama selalu laporan ditutup. solusi dong!! keterangannya ke blokir dan tidak bisa menggunakan berbagai voucher termasuk goride&gofood. tolong gimana biar normal lagi",2024-02-25 11:02:00,0,Negative
Danu Mangun,1,Goride nya lama nyarinya,2024-02-24 20:52:10,0,Negative
Muhammad Firmansyah Abdullah,1,"Ngisi Gopay Customer tiba-tiba Saldo Raib, transaksi apaan gak jelas, komplain ke CS di oper ke GoPartner Goride 🤣. Eh buka aplikasi GoPartner ada transaksi potongan gopay doong. Ngaco, mau ngisi gopay customer malah di kaitin ke gopay customer.. ngaco ngaco",2024-02-23 13:47:01,0,Negative
kholifah angrum diningsih,2,"Niatnya mau top up gopay ke driver dengan cara order go ride. pas driver datang, bisa top up dan saldo masuk. tapi dia kira saya mau pergi ke tempat yg saya tuju dan saya harus bayar ongkos trip tersebut. rugi dong!",2024-02-21 10:14:10,0,Negative
SAYFA ZENNARIA,5,"Tampilan aplikasi Gojek semakin nyaman untuk dilihat, menarik. Penggunaan aplikasi Gojek hingga saat ini masih nyaman, aman, praktis dan suka order gofood/goride lewat aplikasi Gojek. Semoga bisa nambah terus promo buat gofood-nya hehe.",2024-02-19 20:45:59,1,Positive
Vindi Kurniawati,3,"setelah update pasti ada masalah, dan masalah yg update sebelumnya blm kelar habis update baru. Developer update apanya si? apanya yg dibenerin? kalu keluar akun habis itu balik lagi, voucher yg sblumnya udah diklaim hilang semua, lenyap. Waktu mau gofood apa goride itu harus dipesen waktu itu juga, alias kalo close apk ntar vouchernya tbtb ilang.",2024-02-19 20:26:23,0,Negative
cintya silmi dhanurendri,5,Tolong driver goride maupun driver gocar jangan asal batalin dan nolak penumpang apalagi sudah langganan pula,2024-02-19 12:47:21,0,Negative
Fathir & Syifa,1,"Maaf ini kenapa pasar polis goride bisa motong di akun customer saya??? Sebelumnya ga pernah kaya gini, harusnya pasar polis ga punya akses motong saldo akun customer... Baru kali ini ada potongan pasar polis goride di akun customer...",2024-02-18 05:54:46,0,Negative
MuhammaD jamiL,1,"kalau malam susah amat cari ojek, goride",2024-02-17 21:37:11,0,Negative
Deva Channel,1,"Persen goride terlalu lama lalu saya batalkan, dan saldonya terpotong. Kecewa saya chat cs tidak membantu apa2.",2024-02-17 20:49:54,0,Negative
Niken Priska Yuni Hapsari,5,"puas dg aplikasi ini khususnya go ride dan go send, pas bgt buat kebutuhan kami sehari2.",2024-02-16 15:50:49,1,Positive
Ka,1,"males ah, lama bgt nunggu nya, saya pesen goride dari jam 06.40 sampai jam 07.02 belum dapet dapet, smg bs d tingkatkan lg, klo kyak begini jd mls",2024-02-15 07:03:00,0,Negative
Muji Yanto,5,"Parah banget gojek pagi ini sampai coba 3x susah dapat driver goride padahal di aplikasi driver banyak , akhirnya terpaksa batalin tidak jadi pakai gojek",2024-02-15 06:57:01,0,Negative
Suliptawati Riyadi,5,"Sangat membantu dlm beraktifitas, semoga sering sering kasih diskon goridenya",2024-02-14 18:04:25,1,Positive
abdul 313,1,"Sumpah utk pelayanan nya buruk bgt go ride comfort dpet harga 55,500 TPI g ada yg mau ambil pesanan saya nungguin dpet pesanan sampe 43 menit sampai berkali kali dan g dpet lalu saya batalkan dan saya pesan ulang pake g ride comfort lagi keuntungan yg di dapat harusnya sesuai dgn apa yg di beritahu saat memesan TPI malah dpet yg TDK sesuai di aplikasi tertulis dpet motor nmax yg dteng malah motor Scoopy",2024-02-14 16:11:44,0,Negative
Regard Putra,1,"Sekarang pesen gofood lama banget sampenya, pakai ada mode hemat dan reguler, padahal jarak resto 1km sampenya satu jam. Setiap hari order goride juga entah kenapa driver gojek nya ngepasi lemot semua",2024-02-12 16:34:32,0,Negative
Muhammad Adib Abdurrouf,1,"ketika di tempat ramai ojol dengan mitra gojek sulit sekali mendapatkan goride maupun gocar. mereka sengaja mematikan aplikasi demi menawarkan harga yang lebih tinggi kepada customer. maka dari itu sulit sekali dapat goride ketika di tempat tersebut sedang ada event atau acara. tolong tindak tegas agar setidaknya sama-sama menguntungkan, bukan hanya menguntungkan bagi sebelah pihak",2024-02-12 06:24:30,0,Negative
Shah rul Khan,2,Setelah update gak ada lagi promo buat goride jadi kecewa lah sama gojek,2024-02-11 09:26:01,0,Negative
Muhammad Nur Vanani,2,Kebanyakan iklan ganggu saat mau pesen go rider,2024-02-10 19:30:16,0,Negative
M P,1,Ini kalau dapat driver go ride nya jauh banget..padahal yg dekat banyak..gara² bgini saya jadi telat naik kereta api,2024-02-07 17:41:48,0,Negative
Azzam Alfahrezi,5,"Gojek sekarang makin oke,, ada promo setiap hari baik goride, gocar, gofood maupun yg lain trus tingkatkan pelayanan juga khusus paylater n pinjaman tunai. Jgn memandang dari kredit score yg dulu, yg pntg kredit score yg skrg.. Kasih kesempatan utk yg butuh dgn nominal n batasan tertentu. Pasti akan tepat wktu utk pembayaran paymentnya. Trim's bintang 10 pas buatmu",2024-02-07 11:02:57,1,Positive
Riuzy Nur Rohim,1,"payah, biaya pelayanan naik tapi pelayanan buruk sekali, driver gofood semena mena nganterinnya ngga sat set kaya shopeefood. goride suka ngecancel juga kalau bayar pakai gopay.",2024-02-06 20:23:16,0,Negative
Medy Putri,3,"go ride ok, go food harganya ga wajar, semakin kesini, semakin ditambah biaya ini biaya itu... belanja 12 bayar bisa 40an",2024-02-06 14:24:01,0,Negative
Silvia Silvia,4,"Kenapa aku masukin kode promo goride udah sukses tpi vocer promonya gada???? Aku udah cba update masin tetap sma, udah hpus download bbrapa kli tapi tetap sama, kenapa ya?? Apakah eror tpi cba punya temen mah gada masalah apa²",2024-02-05 20:51:51,0,Negative
Muhammad Nazril ilham,5,"Hallo gojek , saya pengguna gojek dari tahun 2020 dan saya sangat senang sekali dengan app tersebut karena saya sering mendapatkan voucher goride untuk menjadi agak lebih murah dari biasanya jadi terimakasih gojek atas jasa jasa mu. Thanks 😘🥰",2024-02-05 05:26:45,1,Positive
ngakak gaming,1,"Aplikasi tolol, kalau persen goride, di kasih driver yang jauh, sekeliling banyak, di ambilin dari Korea Utara, perkiraan 6 menit, ditunggu 30 menit gak sampai, update lokasi driver juga gak jelas,",2024-02-04 21:44:34,0,Negative
Jembutlebat0711,3,"Gojek makin kesini drivernya makin lambat, saya mesen goride kmrn karna lama saya cancel si drivernya marah²ke saya... skrng saya mau pesen gofood lama banget udh brp jam saya nunggu?kalo bisa lebih diperbaiki lagi driver²nya terimksh",2024-02-04 21:04:14,0,Negative
Ompong Kemet,1,"Pesan goride nunggu lama bgt padahal yg terdekat ada sekalinya dapet driver paling jauh alhasil nunggu lama ,sama jalan yg sudah ditutup permanen sama google map di gojek Masi kebaca jalan Masi bisa dilewatin ,,jgn cari jalan pintas klo hasil y bikin lama sampai tujuan yg tadinya 1 jam sampai hari makan waktu lama driver harus puter balik jalan gak bisa dilewatin di tutup beton ingat aplikasi tanpa ada driver gak bisa jalan jangan bodoh",2024-02-03 10:05:02,0,Negative
Bang Acid,4,"Disolok sdh ada gojek kenapa ga BS pesen goride ke tanjung bingkung ,dan belum ada gocar kepadang atau bukit tinggi.Kalau apk kehapus dan nmr hp hilang mau login lagi susah ga bisa2 padahal kan ada email saya buat verivikasi.",2024-02-02 22:33:51,0,Negative
Deru R Indika,3,"Sudah tahun 2024, ternyata masih sama, Go club tinggi tidak menjamin prioritas pesanan, layanan aplikasi hanya berjalan bagus selain di Kota Bandung, karena di kota Bandung Go Ride tidak berfungsi ketika subuh, macet, atau hujan, tidak ada mitra driver yang akan melayani. Gunakan Grab, Maxim atau aplikasi lain disaat tersebut",2024-02-02 19:32:13,0,Negative
Ariefyan Kosasih,5,Mantap..tingkatkan lagi promo nya ya...tingkat kan promo goride nya... Ini masih kurang untuk goride nya..terima kasih,2024-02-01 10:10:34,1,Positive
Kyt C7,1,Order goride susah bgt dapet driver kalau garimis di solo Gofood sekarang bisa 1 jam lebih makamana baru Dateng Dan kalau hujan malah gak dapat driver,2024-03-30 22:35:02,0,Negative
Gigih Wisnu,1,"Ridernya pada malesan terutama daerah Bandung, bojongsoang dst. Jalan juga g apal + suka nyasar g jelas. Aneh",2024-03-30 18:14:06,0,Negative
Kinoz Maharis,1,Aplikasi makin tolol...pesan goride yg muncul dan datang gocar,2024-03-28 18:12:48,0,Negative
Brahma Satria Pambudi Handityo,1,"Kata kata ""tunggu sebentar"" di pemesanan goride itu sebenarnya gunanya apa ya kalo nyari driver di tempat ramai aja sampai 20 menit lebih?? Sudah dapat driver sampai 6x pun mereka menolak orderan saya Uselless aplikasinya.",2024-03-28 15:29:39,0,Negative
alloy soerbakti,5,"Pilih karyawan yg bener ya Masak pesan go ride udah lama nunggu gak datang2 juga,gak ada kabar juga Kecewa sama gojek",2024-03-26 16:32:37,0,Negative
Yogi Purnama,2,Tolong min saya pesan goride buat jemput anak lihat di map sudah sampai ko tiba² harus menunggu 2 menit ternyata goridenya dialihkan saya kaget kalau bisa driver kalau nerima pesanan jangan bisa dialihkan ke driver lain bikin was² kasian ke driver ke dua,2024-03-26 14:36:02,0,Negative
Hasnaa 393,2,Kenapa nggak bisa tukar voucher gorideaja??? sudah ditukar bilangnya berhasil tapi di cek di halaman voucher ngga ada sama sekali voucher nya... kosongg,2024-03-25 05:07:11,0,Negative
Ferdo Sembiring,1,"Kalau terima rider seleksi dulu lah, setiap naik gojek rider-nya emosian Mulu.",2024-03-24 15:18:10,0,Negative
min yoongi,5,Mantap kali pokoknya. Sering2 kasih kupon diskon ya. Saran : tolong buatkan paket langganan buat goride dan gocar dong. Lumayan buat langganan pulang pergi kerja,2024-03-24 11:44:50,1,Positive
adi prayogo,1,"Ini kenapa ya ? Saya pesan go ride tiba2 di cancel dan saldo saya berkurang , tapi waktu di check di riwayat dan benar di cancel tp saldo 0 bagaimana ini?",2024-03-22 22:48:34,0,Negative
Siti Rahma Nurfauziyah,1,Gojek kebangetan pesan goride dapetnya jauh amat driver nya.kita sebagai pengguna jasa keberatan harus nunggu dengan waktu yang lama.mana ga bisa cancel ordernya.karena saya belum sama driver tapi notifikasi nya sedang jalan sama driver.tau dapetnya jauh mending pake si Indri ongkosnya lebih murah.gojek parah bgt.,2024-03-22 13:46:11,0,Negative
Salwa Ramadhan,4,so far masih banyak kekurangan kadang² klo pke gojek suka gak dapet² apalagi klo pagi naik goride suka gak dapet² sampe telat sekolah 🥹. Driver nya ada yg udh otw trus tbtb suruh cancel tolong gojek ada sanksi buat driver yg suka nge cancel² gtu dong biar mereka mau ambil itu penumpang. Biar driver² gak pada cancel² muluuu🥺🙏🏻,2024-03-19 21:35:31,0,Negative
Siti Asiah,5,Ok buat goride nya,2024-03-17 08:39:57,1,Positive
ria ria,4,"tiap transaksi di gojek,toped, blibli, alfagift kenapa selalu gopaylaternya ditulis diblokir? limit aman. tagihan blm japo. masa cuma bisa dipakai buat goride gocar doang?? gimana nih",2024-03-15 15:30:24,0,Negative
Nahar Fadlan,4,"Napa susah kali dpt drivernya wilayah kota lhokseumawe,pesan goride susah pesan gocar susah juga,masa kalah sama ojol sebelah yg warna kuning,padahal lhokseumawe udah kota metropolitan...",2024-03-14 21:17:25,0,Negative
annennta nenta,3,Tolong ya..Pleeeeease...buat CUSTOMER yg Pesen Gibride....Tolong itu Jempol Jangan Dikit2 cansel....Dikit2 Cansel.....Kalian Beratus Ratus kali Cansel nggak ngaruh ..nggak ngefek ..kitw2 yg driver yg kena ampas nanti Ama aplikator.....Emang Kalian Bayar Tarif nya Super Mahal ...tapi Kita dibpitong Gede super Gede Potongannya.....tolong Kasihani Kami ya Driver Ojol....,2024-03-14 17:06:06,0,Negative
Agnes Tobing,5,"Goride Top markotop. Tapi utk gocar daerah karawang timur minim sekali. Kalo pesan, bisa 30 menit bari sampai 🤦🏼‍♀️",2024-03-13 18:07:56,1,Positive
Sule Men,3,Tolong di perbaiki..saya order go ride dapat drivernya jauh jauh terus..padahal yang deket deket banyak. Bagaimana ini sistem gojek? Kasihan driver nya kalau jemput nya jauh jauh jadi double bensin.,2024-03-11 10:06:52,0,Negative
Yudi,1,"Apk buruk, pesen gomart driver sibuk semua, pesek goride driver lama banget dtg nya, pesen gocar gak ada yg mau ambil, padahal driver banyak ,emang makin ancur nih apk ,gak seperti yg sebelah",2024-03-10 22:04:31,0,Negative
Tarmiji Tahir,4,"Awal memakai aplikasi gojek puas, makin kesini keseringan kecewa, order makanan susah dpt driver nya harus menunggu hampir satu jam begitu pun untuk goride .. mohon diperhatikan dan ditindaklanjuti kedepannya..",2024-03-10 21:25:38,0,Negative
Muhammad Amirul Arsyad - 33,3,"saya mendapatkan bug dobel pemesanan goride, saat melakukan pencarian driver, sistem mendapatkan 2 driver untuk saya, alhasil saya membayar 2 driver tsb. untuk review lainnya sudah memuaskan bagi saya",2024-03-10 16:42:42,1,Positive
